City,Cuisine,count
Ljubljana,Slovenian,151
Madrid,Armenian,3
Barcelona,Hungarian,2
Barcelona,Scandinavian,1
Dublin,Steakhouse,42
Geneva,Southwestern,1
Ljubljana,Indian,6
Madrid,Singaporean,3
Madrid,Ukrainian,3
Brussels,Lebanese,45
Dublin,Delicatessen,21
Krakow,Swedish,1
Lisbon,British,3
London,Fusion,134
Lyon,Bar,78
Bratislava,Chinese,11
Bratislava,Latin,3
Edinburgh,Lebanese,7
Helsinki,Vegan Options,144
Helsinki,Singaporean,1
London,Chilean,1
Amsterdam,British,18
Brussels,Polish,1
Edinburgh,Asian,219
Helsinki,Street Food,10
Lisbon,Middle Eastern,13
Ljubljana,Eastern European,33
London,Malaysian,70
Luxembourg,Argentinean,2
Madrid,Irish,12
Athens,Central European,8
Barcelona,Taiwanese,4
Barcelona,German,23
Berlin,Bar,264
Berlin,Central Asian,2
Brussels,Balti,1
Budapest,Kosher,9
Budapest,Vietnamese,29
Copenhagen,Pizza,103
Copenhagen,German,3
Edinburgh,Halal,61
Helsinki,Mediterranean,66
Madrid,Diner,62
Amsterdam,Grill,85
Amsterdam,Street Food,23
Athens,Pakistani,3
Barcelona,Israeli,7
Budapest,Latvian,1
Copenhagen,Turkish,25
Hamburg,Korean,6
London,Irish,21
London,Street Food,83
London,Sushi,420
Lyon,Argentinean,3
Madrid,Italian,421
Madrid,Caribbean,27
Amsterdam,Vegan Options,524
Barcelona,French,64
Berlin,Thai,138
Helsinki,Swedish,1
Madrid,Greek,21
Athens,Venezuelan,1
Helsinki,Brazilian,2
Krakow,Fast Food,59
London,Vegan Options,2681
London,Hawaiian,12
Lyon,Pub,83
Athens,Grill,41
Athens,Swiss,1
Berlin,Argentinean,28
Brussels,Gluten Free Options,123
Dublin,Brew Pub,6
Hamburg,Southwestern,1
Helsinki,Vegetarian Friendly,328
Amsterdam,Healthy,81
Athens,Contemporary,23
Barcelona,Gluten Free Options,901
Berlin,Cajun & Creole,3
Copenhagen,Cafe,187
Lisbon,Halal,17
Lisbon,Greek,3
Luxembourg,Persian,3
Luxembourg,Scandinavian,4
Lyon,European,298
Madrid,European,1016
Barcelona,Armenian,2
Berlin,Croatian,18
Brussels,Spanish,45
Copenhagen,Croatian,2
Edinburgh,Seafood,43
Ljubljana,International,21
London,British,3597
Amsterdam,Indonesian,74
Barcelona,Indian,71
Barcelona,Lebanese,47
Brussels,Israeli,1
Hamburg,African,4
Helsinki,Ethiopian,2
Helsinki,Caucasian,2
Ljubljana,European,221
Madrid,Central European,11
Copenhagen,Barbecue,21
Geneva,Chinese,46
Helsinki,Turkish,18
Madrid,Pakistani,7
Madrid,Filipino,5
Amsterdam,Afghani,3
Krakow,New Zealand,1
Krakow,Turkish,9
Lisbon,Ukrainian,1
Athens,Brazilian,2
Berlin,Norwegian,1
Brussels,Chilean,1
Budapest,Sushi,46
Dublin,Singaporean,1
Edinburgh,Swiss,1
Krakow,Eastern European,159
Krakow,Brazilian,2
Lisbon,Contemporary,93
London,Filipino,10
Luxembourg,Central American,3
Amsterdam,Norwegian,1
Brussels,Armenian,1
Budapest,Vegan Options,298
Budapest,Latin,7
Budapest,Korean,6
Dublin,Greek,4
Edinburgh,Taiwanese,1
Lisbon,Central European,8
Ljubljana,Vegan Options,63
Luxembourg,Mediterranean,93
Madrid,British,9
Dublin,Eastern European,6
Geneva,Bangladeshi,1
Lisbon,European,1870
London,Tibetan,3
Lyon,Sushi,47
Lyon,Latin,11
Lyon,Taiwanese,1
Lyon,Central American,3
Madrid,African,16
Berlin,Southwestern,2
Copenhagen,Cajun & Creole,2
Copenhagen,Hawaiian,2
Helsinki,Moroccan,3
London,Cajun & Creole,11
Luxembourg,Danish,3
Copenhagen,Mexican,25
Dublin,African,3
Hamburg,Street Food,7
Helsinki,European,366
Helsinki,Greek,7
Helsinki,African,3
Krakow,Latin,1
Ljubljana,Halal,2
Madrid,South American,193
Madrid,Chilean,3
Amsterdam,Peruvian,4
Athens,Irish,1
Bratislava,German,1
Budapest,Mediterranean,129
Budapest,Austrian,5
Dublin,Cafe,245
Dublin,Latin,5
Hamburg,Venezuelan,1
Barcelona,Fusion,224
Barcelona,Mexican,124
Bratislava,International,58
Edinburgh,Barbecue,11
Geneva,Brew Pub,6
Krakow,Russian,2
Lisbon,Chinese,51
Lisbon,Latin,17
London,Hungarian,4
Lyon,Halal,9
Madrid,Asian,312
Berlin,Australian,8
Budapest,Israeli,21
Copenhagen,European,719
Copenhagen,American,102
London,Salvadoran,1
Luxembourg,Greek,5
Luxembourg,Swiss,1
Berlin,Ethiopian,6
Berlin,Salvadoran,1
Budapest,Russian,10
Budapest,British,9
Copenhagen,Danish,471
Copenhagen,Caribbean,1
Edinburgh,Gluten Free Options,608
Edinburgh,Cafe,288
Hamburg,Afghani,3
Lyon,Danish,1
Barcelona,Austrian,2
Brussels,Sushi,44
Brussels,Hungarian,1
Copenhagen,Pakistani,11
Dublin,Halal,27
Dublin,Cajun & Creole,1
Geneva,Italian,220
Geneva,Afghani,1
Hamburg,Wine Bar,27
Krakow,Hungarian,3
London,Vegetarian Friendly,6163
Lyon,British,6
Barcelona,Bar,537
Edinburgh,Portuguese,12
Hamburg,Pizza,87
Hamburg,Albanian,1
Helsinki,Persian,1
London,Norwegian,4
Luxembourg,Steakhouse,10
Lyon,French,906
Brussels,Greek,64
Budapest,Thai,47
Budapest,South American,9
Copenhagen,Gastropub,9
Geneva,Vegan Options,106
Geneva,Delicatessen,7
Hamburg,French,37
Helsinki,Bar,83
Lisbon,Belgian,4
Ljubljana,Fusion,6
Luxembourg,Cafe,27
Berlin,Contemporary,57
Bratislava,Thai,12
Bratislava,Vegan Options,45
Brussels,Persian,6
Copenhagen,Grill,27
Geneva,Street Food,6
Hamburg,Soups,21
Helsinki,Cafe,76
Lyon,Albanian,2
Berlin,American,168
Budapest,Arabic,3
Geneva,Greek,1
Hamburg,Nepali,2
London,Eastern European,134
Berlin,Delicatessen,52
Berlin,Ukrainian,4
Brussels,Afghani,1
Budapest,Afghani,1
Copenhagen,Dutch,1
Edinburgh,Grill,28
Geneva,Soups,15
Hamburg,Croatian,4
Helsinki,Contemporary,14
Lisbon,Gluten Free Options,246
Ljubljana,Native American,1
Berlin,Soups,67
Berlin,Halal,68
Berlin,Moroccan,9
Budapest,Czech,4
Ljubljana,Korean,1
Luxembourg,Barbecue,2
Luxembourg,Contemporary,5
Amsterdam,Mediterranean,337
Amsterdam,Persian,6
Barcelona,Japanese,338
Barcelona,Indonesian,6
Berlin,Lebanese,51
Bratislava,Caribbean,1
Budapest,Grill,49
Dublin,Mongolian,1
Edinburgh,Italian,148
Geneva,Portuguese,19
London,Halal,871
Berlin,South American,55
Bratislava,Contemporary,6
Brussels,German,1
Dublin,British,54
Geneva,Fast Food,37
Krakow,Wine Bar,15
Ljubljana,Central European,114
Luxembourg,Lebanese,4
Amsterdam,Nepali,10
Athens,Pub,85
Brussels,Middle Eastern,81
Brussels,Turkish,28
Budapest,Italian,258
Helsinki,Egyptian,1
Krakow,Delicatessen,2
Ljubljana,Brew Pub,1
Ljubljana,Diner,1
London,Asian,2139
London,Polynesian,1
Luxembourg,Fusion,8
Luxembourg,Irish,1
Lyon,Gluten Free Options,23
Madrid,Vegan Options,596
Barcelona,Persian,2
Budapest,Halal,11
Dublin,Australian,5
Geneva,Pizza,106
Hamburg,Mexican,23
Lisbon,Israeli,1
Lisbon,Hawaiian,1
Madrid,International,348
Berlin,Vegetarian Friendly,1723
Berlin,Barbecue,89
Brussels,American,68
Copenhagen,Delicatessen,14
Krakow,International,60
Ljubljana,Pub,29
Ljubljana,Street Food,6
Lyon,Brew Pub,38
Madrid,Persian,3
Amsterdam,German,8
Berlin,Egyptian,7
Budapest,Belgian,4
Copenhagen,Korean,8
Helsinki,German,3
Helsinki,Grill,10
Krakow,Mediterranean,99
Luxembourg,Latin,11
Luxembourg,Vietnamese,5
Madrid,Central American,31
Athens,French,20
Athens,Azerbaijani,1
Barcelona,Georgian,1
Berlin,British,6
Hamburg,Vegetarian Friendly,513
Hamburg,Barbecue,33
Hamburg,Spanish,50
Lisbon,Street Food,16
Madrid,Contemporary,145
Amsterdam,New Zealand,4
Amsterdam,Egyptian,4
Barcelona,South American,174
Bratislava,Indonesian,2
Copenhagen,French,88
London,Scottish,13
Bratislava,Japanese,23
Edinburgh,Healthy,30
Hamburg,Halal,15
Hamburg,Israeli,2
Hamburg,Russian,2
Lisbon,Vietnamese,6
London,Japanese,542
Amsterdam,Bar,497
Athens,Soups,8
Barcelona,Middle Eastern,80
Berlin,Italian,803
Berlin,Pakistani,10
Brussels,Asian,238
Edinburgh,Bar,309
Madrid,Ethiopian,3
Athens,African,3
Barcelona,Greek,21
Barcelona,Ecuadorean,2
Berlin,Latin,41
Berlin,Peruvian,12
Bratislava,Middle Eastern,4
Brussels,Taiwanese,2
Brussels,Hawaiian,1
Lisbon,Barbecue,57
London,Fast Food,1119
London,Wine Bar,247
London,Jamaican,60
Lyon,Pakistani,16
Lyon,Cajun & Creole,5
Amsterdam,Fast Food,117
Amsterdam,African,24
Athens,European,192
Athens,Latin,9
Barcelona,Pakistani,15
Berlin,Scandinavian,4
Copenhagen,Tibetan,1
Copenhagen,Eastern European,3
Dublin,Central European,8
Dublin,Malaysian,4
Edinburgh,Australian,1
Hamburg,Eastern European,2
Lisbon,International,122
Ljubljana,Spanish,4
Athens,Barbecue,51
Berlin,Caucasian,1
Budapest,Lebanese,8
Budapest,Peruvian,2
Edinburgh,German,3
Athens,Mexican,15
Berlin,Israeli,22
Brussels,Soups,64
Budapest,American,138
Dublin,Croatian,1
Dublin,Pakistani,13
Hamburg,Seafood,137
Hamburg,Chinese,62
Helsinki,Indian,18
Krakow,Pizza,95
Lisbon,Soups,72
London,Singaporean,17
Lyon,Vegetarian Friendly,223
Madrid,Arabic,2
Athens,British,6
Barcelona,Wine Bar,109
Bratislava,Argentinean,1
Edinburgh,Argentinean,4
Helsinki,French,22
Lisbon,South American,54
Lyon,Welsh,1
Barcelona,Cajun & Creole,1
Geneva,Pub,43
Geneva,British,3
Hamburg,Austrian,11
Hamburg,Delicatessen,20
Lisbon,Malaysian,2
London,French,439
Amsterdam,Minority Chinese,2
Athens,Middle Eastern,25
Geneva,Venezuelan,2
Hamburg,Argentinean,5
Hamburg,Polish,1
Krakow,Thai,12
Lisbon,Korean,2
London,Minority Chinese,5
Luxembourg,Turkish,3
Barcelona,Vegetarian Friendly,1969
Barcelona,American,176
Barcelona,British,11
Bratislava,Israeli,1
Edinburgh,Nepali,9
Edinburgh,Brew Pub,4
Helsinki,Belgian,2
Krakow,Grill,20
Lisbon,Cafe,119
London,Grill,321
Lyon,Diner,19
Amsterdam,Halal,52
Athens,Greek,903
Barcelona,Yunnan,2
Berlin,Georgian,3
Brussels,Diner,12
Lisbon,Filipino,3
London,Australian,25
Luxembourg,Vegetarian Friendly,204
Luxembourg,Bar,57
Madrid,Mediterranean,2074
Madrid,Argentinean,88
Athens,Healthy,25
Athens,Romanian,1
Barcelona,Scottish,1
Berlin,Kosher,10
Berlin,Mongolian,3
Copenhagen,Nepali,3
Hamburg,American,80
Lisbon,Eastern European,3
Ljubljana,Fast Food,33
London,Peruvian,33
London,Sri Lankan,16
Lyon,Pizza,130
Berlin,Mexican,88
Copenhagen,Halal,16
Geneva,Croatian,1
Hamburg,Portuguese,37
London,Balti,164
Amsterdam,Swiss,6
Barcelona,Irish,11
Budapest,Hungarian,948
Edinburgh,Vegan Options,460
Geneva,Swiss,140
Geneva,Fusion,15
Geneva,Russian,1
Lisbon,Russian,2
Madrid,Central Asian,2
Amsterdam,South American,54
Barcelona,Filipino,6
Berlin,Fusion,71
Berlin,Persian,17
Bratislava,French,12
Copenhagen,Indian,43
Copenhagen,Brew Pub,7
Geneva,Vegetarian Friendly,397
Geneva,Indian,24
Geneva,Taiwanese,1
Helsinki,Portuguese,1
Ljubljana,Bar,47
Athens,Pizza,52
Barcelona,Gastropub,72
Edinburgh,Spanish,17
Hamburg,Armenian,1
Lisbon,Thai,12
Ljubljana,Irish,2
Lyon,Armenian,7
Madrid,Brew Pub,39
Amsterdam,Moroccan,23
Barcelona,Swedish,1
Berlin,Swiss,14
Bratislava,Eastern European,73
Budapest,Colombian,1
Copenhagen,Healthy,30
Copenhagen,Spanish,40
Geneva,Belgian,1
Krakow,Vegetarian Friendly,379
Krakow,Sushi,28
Ljubljana,Argentinean,1
London,European,2191
Luxembourg,Xinjiang,1
Amsterdam,Pakistani,8
Barcelona,Dutch,2
Bratislava,Fast Food,28
Dublin,French,44
Edinburgh,Balti,34
Geneva,Asian,135
Hamburg,Tibetan,3
Krakow,Middle Eastern,13
London,Middle Eastern,691
Luxembourg,Gluten Free Options,60
Madrid,Cuban,10
Berlin,Indonesian,6
Dublin,Korean,9
Helsinki,Gluten Free Options,181
Helsinki,Cajun & Creole,1
Krakow,Polynesian,2
Lisbon,Seafood,210
Ljubljana,Cafe,37
Lyon,Soups,11
Lyon,Canadian,1
Amsterdam,Pub,292
Amsterdam,Fusion,50
Berlin,Healthy,67
Berlin,Swedish,2
Bratislava,Gastropub,10
Budapest,Indian,30
Dublin,International,79
Edinburgh,Caribbean,6
Hamburg,Cajun & Creole,2
Amsterdam,Lebanese,16
Barcelona,Colombian,20
Barcelona,Southwestern,1
Brussels,Indonesian,2
Dublin,Egyptian,1
Edinburgh,Thai,36
Edinburgh,African,7
Edinburgh,Korean,7
Lyon,Vegan Options,51
Lyon,Vietnamese,37
Lyon,Barbecue,16
Madrid,American,305
Amsterdam,Hawaiian,4
Berlin,Eastern European,27
Bratislava,Soups,23
Brussels,Peruvian,5
Brussels,Cambodian,2
Krakow,Gluten Free Options,117
Lisbon,Moroccan,2
Madrid,Seafood,160
Madrid,Soups,30
Amsterdam,Turkish,68
Budapest,Central Asian,1
Edinburgh,Bangladeshi,24
Edinburgh,Fusion,8
Geneva,Tunisian,1
Luxembourg,Brew Pub,3
Edinburgh,Scandinavian,4
Hamburg,Chilean,1
London,Arabic,20
Luxembourg,Seafood,7
Lyon,Yunnan,1
Madrid,Fujian,1
Madrid,Swedish,1
Bratislava,Brew Pub,10
Budapest,Eastern European,321
Geneva,Central American,7
Hamburg,Swiss,1
Ljubljana,Gastropub,2
Bratislava,Spanish,4
Bratislava,Russian,1
Brussels,Wine Bar,44
Budapest,Brazilian,1
Budapest,Scottish,2
Helsinki,Asian,143
Helsinki,Malaysian,2
Berlin,German,805
Krakow,European,576
Krakow,Central American,4
London,Latin,115
Amsterdam,Middle Eastern,78
Berlin,Vietnamese,260
Helsinki,Steakhouse,14
Lisbon,Lebanese,4
London,Uzbek,2
Madrid,Vietnamese,21
Athens,Caribbean,2
Barcelona,Seafood,281
Budapest,Fast Food,167
Budapest,Danish,1
Edinburgh,Hungarian,1
Helsinki,Latin,10
Ljubljana,Central American,2
Berlin,Singaporean,7
Berlin,Polish,9
Geneva,Pakistani,2
Krakow,Canadian,1
Lisbon,Gastropub,11
Madrid,Vegetarian Friendly,1366
Madrid,Gastropub,62
Madrid,Korean,12
Madrid,Salvadoran,2
Madrid,Israeli,3
Oslo,Scandinavian,144
Stockholm,Gluten Free Options,284
Zurich,Vegan Options,163
Munich,Turkish,39
Stockholm,South American,16
Stockholm,Australian,2
Stockholm,African,6
Zurich,Mexican,20
Munich,Eastern European,8
Milan,Fusion,128
Oporto,Fast Food,30
Prague,Brew Pub,17
Stockholm,Thai,71
Stockholm,Fast Food,62
Stockholm,Grill,17
Zurich,Barbecue,24
Munich,Seafood,113
Prague,Japanese,86
Stockholm,Sushi,134
Vienna,Ukrainian,3
Paris,Fusion,171
Prague,Scottish,1
Zurich,Italian,242
Zurich,Fusion,14
Milan,Cafe,224
Warsaw,Nepali,8
Madrid,Welsh,1
Milan,Israeli,4
Milan,Southwestern,1
Munich,Central American,13
Oslo,Chinese,34
Prague,American,168
Rome,Filipino,5
Zurich,Egyptian,1
Milan,German,10
Milan,Moroccan,6
Munich,Central Asian,1
Paris,Barbecue,75
Paris,Pub,478
Prague,Italian,387
Prague,Ukrainian,1
Warsaw,Georgian,6
Milan,Vegetarian Friendly,1592
Oporto,Asian,39
Prague,Central American,15
Prague,Hungarian,1
Vienna,Pub,148
Vienna,Central American,12
Oporto,Japanese,51
Oslo,Asian,159
Oslo,German,4
Paris,Israeli,21
Paris,Irish,17
Rome,Southwestern,1
Warsaw,Azerbaijani,1
Milan,Wine Bar,121
Milan,Central American,10
Milan,Singaporean,3
Milan,Pakistani,4
Oslo,Irish,1
Prague,Arabic,4
Vienna,Gastropub,56
Vienna,Georgian,1
Oslo,South American,6
Warsaw,Vegan Options,163
Oslo,Middle Eastern,30
Munich,International,162
Warsaw,International,147
Zurich,Malaysian,5
Munich,Croatian,11
Oporto,Healthy,18
Paris,Scandinavian,10
Prague,Wine Bar,74
Prague,Gastropub,46
Rome,Grill,38
Rome,Central American,12
Stockholm,Albanian,1
Vienna,Gluten Free Options,250
Warsaw,Middle Eastern,32
Milan,Caribbean,4
Paris,International,157
Paris,Indonesian,10
Paris,Central Asian,3
Prague,French,79
Vienna,Vegetarian Friendly,958
Vienna,Sushi,108
Vienna,Soups,47
Munich,Central European,233
Paris,Spanish,174
Stockholm,Austrian,2
Warsaw,African,1
Paris,Arabic,11
Warsaw,Asian,168
Warsaw,Czech,7
Milan,Eastern European,3
Milan,Diner,7
Paris,German,6
Rome,Delicatessen,167
Vienna,Thai,36
Warsaw,Irish,2
Zurich,Middle Eastern,36
Paris,Georgian,1
Prague,Delicatessen,27
Rome,Indonesian,2
Stockholm,Hawaiian,3
Oporto,Albanian,1
Paris,Grill,91
Stockholm,European,716
Vienna,Egyptian,4
Milan,Italian,2926
Milan,Ecuadorean,4
Oporto,Contemporary,58
Rome,Cafe,212
Rome,Argentinean,9
Rome,Persian,5
Rome,Thai,27
Munich,Mexican,34
Oslo,Southwestern,3
Prague,Sushi,80
Rome,Gluten Free Options,919
Stockholm,Greek,28
Stockholm,Argentinean,4
Vienna,European,1245
Vienna,Native American,1
Warsaw,Spanish,31
Paris,French,5258
Paris,Malaysian,3
Paris,Uzbek,1
Rome,Vegetarian Friendly,2507
Stockholm,Italian,170
Stockholm,Brazilian,2
Warsaw,Tibetan,1
Milan,Gluten Free Options,533
Oporto,Brew Pub,3
Oslo,French,32
Prague,South American,16
Vienna,French,30
Warsaw,Pakistani,1
Zurich,Central American,6
Milan,South American,61
Munich,Australian,1
Oslo,Vietnamese,20
Oslo,Healthy,2
Rome,Irish,12
Milan,Norwegian,1
Oslo,Pub,92
Prague,British,12
Vienna,Peruvian,6
Warsaw,Street Food,5
Zurich,Swiss,323
Zurich,Jamaican,1
Milan,Asian,249
Munich,Venezuelan,1
Oslo,Spanish,27
Prague,Fast Food,284
Prague,Israeli,5
Prague,Romanian,1
Zurich,Persian,2
Paris,Hungarian,1
Rome,Barbecue,111
Paris,Hawaiian,6
Prague,Mexican,55
Rome,Egyptian,5
Vienna,Steakhouse,34
Warsaw,Croatian,3
Warsaw,Portuguese,1
Zurich,German,19
Zurich,Sushi,48
Munich,Thai,61
Oporto,Pub,46
Paris,Egyptian,3
Prague,Barbecue,50
Vienna,Venezuelan,1
Paris,Croatian,1
Rome,Norwegian,2
Stockholm,Colombian,1
Warsaw,Taiwanese,1
Oporto,Turkish,1
Paris,Healthy,128
Oporto,Peruvian,1
Paris,Fast Food,304
Paris,Swiss,5
Warsaw,Greek,10
Munich,Italian,404
Oslo,Street Food,6
Warsaw,Delicatessen,3
Warsaw,Cuban,2
Oporto,Latin,7
Paris,Singaporean,1
Prague,Kosher,5
Rome,Colombian,2
Stockholm,Cuban,1
Vienna,Israeli,18
Vienna,Czech,5
Paris,Venezuelan,2
Prague,Fusion,37
Rome,Romanian,1
Vienna,Fusion,60
Zurich,Argentinean,8
Paris,Polish,7
Prague,Austrian,8
Rome,Moroccan,4
Stockholm,Contemporary,18
Zurich,French,46
Oporto,Steakhouse,26
Oporto,Belgian,2
Paris,Delicatessen,132
Prague,Gluten Free Options,296
Prague,Irish,11
Milan,European,526
Milan,Filipino,4
Munich,Asian,210
Munich,Delicatessen,33
Oporto,Barbecue,39
Paris,Gastropub,232
Stockholm,Mexican,25
Stockholm,Korean,20
Warsaw,Latin,11
Munich,Tunisian,1
Oporto,Wine Bar,58
Prague,Asian,252
Warsaw,Indonesian,4
Zurich,Delicatessen,23
Milan,French,22
Munich,Ethiopian,4
Paris,Latin,67
Rome,Halal,16
Stockholm,Vietnamese,18
Vienna,Romanian,2
Warsaw,Israeli,16
Zurich,Brazilian,5
Munich,Afghani,11
Oslo,Mongolian,2
Prague,Brazilian,6
Prague,Street Food,12
Stockholm,Taiwanese,1
Warsaw,Fusion,57
Zurich,Bangladeshi,1
Paris,Taiwanese,13
Paris,Afghani,7
Rome,Indian,28
Rome,Native American,1
Stockholm,British,18
Stockholm,Lebanese,22
Zurich,American,55
Milan,Swedish,2
Paris,European,3353
Prague,Vegetarian Friendly,778
Rome,South American,34
Vienna,Wine Bar,123
Zurich,Pakistani,6
Oporto,Taiwanese,1
Oslo,Portuguese,1
Paris,Asian,987
Paris,Wine Bar,345
Paris,Albanian,2
Rome,Street Food,91
Rome,Tunisian,2
Vienna,International,188
Warsaw,Dutch,1
Milan,Thai,24
Vienna,African,4
Vienna,Scottish,1
Munich,Pakistani,3
Munich,Minority Chinese,3
Paris,Chinese,450
Paris,Scottish,2
Prague,Swedish,1
Warsaw,Steakhouse,33
Warsaw,Chilean,1
Zurich,Greek,9
Zurich,Vietnamese,23
Munich,Vietnamese,90
Prague,Healthy,43
Stockholm,Diner,7
Zurich,Halal,18
Zurich,Seafood,29
Milan,Brazilian,25
Munich,Swiss,2
Munich,Romanian,1
Oslo,Polish,1
Stockholm,Scandinavian,289
Vienna,Belgian,1
Warsaw,Central American,8
Munich,Kosher,1
Paris,Brew Pub,94
Prague,Central European,832
Rome,Fusion,74
Rome,Russian,1
Stockholm,Chinese,78
Zurich,Gastropub,4
Milan,Chinese,302
Munich,Portuguese,5
Paris,Eastern European,19
Vienna,Afghani,1
Oslo,Peruvian,4
Paris,Argentinean,34
Warsaw,Scandinavian,1
Munich,Halal,33
Munich,Korean,8
Oslo,Mediterranean,47
Paris,Minority Chinese,1
Stockholm,American,97
Stockholm,German,8
Stockholm,Caribbean,3
Vienna,Portuguese,7
Zurich,Australian,1
Milan,Venezuelan,3
Milan,Egyptian,13
Munich,British,1
Oslo,Hawaiian,1
Paris,Xinjiang,1
Zurich,Peruvian,2
Munich,Hawaiian,3
Paris,American,351
Rome,Wine Bar,210
Rome,Greek,13
Rome,German,11
Oslo,Brazilian,1
Paris,Seafood,167
Prague,Mediterranean,204
Rome,Diner,4
Rome,Fujian,1
Stockholm,Dutch,1
Munich,Diner,37
Oslo,Nepali,1
Paris,Thai,333
Paris,Kosher,45
Vienna,Hungarian,10
Vienna,Argentinean,4
Zurich,Lebanese,21
Paris,Japanese,716
Prague,Diner,60
Vienna,Japanese,104
Vienna,Mexican,26
Zurich,Tibetan,3
Milan,Mongolian,2
Oslo,Vegan Options,156
Zurich,Austrian,6
Oporto,Argentinean,3
Paris,Mongolian,1
Stockholm,Irish,6
Stockholm,Street Food,6
Vienna,German,209
Vienna,Italian,339
Vienna,Cafe,194
Warsaw,Brazilian,1
Zurich,Indian,51
Zurich,Indonesian,3
Zurich,Pub,72
Oporto,Pizza,37
Oporto,Diner,3
Paris,Cuban,9
Rome,Pizza,1486
Rome,Ethiopian,9
Zurich,Central Asian,1
Milan,Halal,16
Milan,Korean,18
Stockholm,Brew Pub,4
Stockholm,Belgian,3
Vienna,Polish,4
Warsaw,Halal,12
Zurich,South American,14
Prague,Thai,68
Stockholm,Asian,194
Munich,South American,16
Oporto,Vegan Options,138
Oslo,Korean,6
Oslo,Eastern European,1
Rome,Healthy,39
Zurich,Diner,21
Oslo,Fusion,20
Oslo,Persian,2
Stockholm,Czech,1
Vienna,Australian,1
Warsaw,Grill,30
Warsaw,Lebanese,18
Warsaw,Sri Lankan,1
Oslo,Italian,94
Prague,Spanish,29
Vienna,Swedish,1
Milan,Vegan Options,605
Milan,Soups,152
Milan,Australian,4
Munich,Gluten Free Options,105
Vienna,Irish,9
Warsaw,Bar,136
Oslo,Sushi,84
Oslo,Caribbean,2
Paris,Central European,15
Vienna,Spanish,29
Vienna,Brew Pub,14
Munich,Spanish,40
Oporto,International,53
Oporto,Mexican,2
Paris,Persian,15
Rome,Pakistani,2
Rome,Scottish,1
Vienna,Tunisian,1
Warsaw,Wine Bar,36
Warsaw,Seafood,23
Warsaw,Romanian,1
Oporto,Sushi,46
Oporto,Grill,25
Oporto,British,1
Vienna,Street Food,13
Warsaw,Kosher,5
Milan,British,7
Prague,Cafe,409
Rome,Soups,169
Oslo,Contemporary,12
Rome,Japanese,168
Rome,Peruvian,13
Stockholm,Halal,12
Warsaw,Moroccan,2
Milan,Argentinean,15
Munich,American,73
Oslo,Pizza,76
Oslo,Wine Bar,13
Rome,Asian,137
Stockholm,Mongolian,4
Vienna,Latin,18
Vienna,Malaysian,2
Zurich,Hawaiian,2
Milan,Scandinavian,2
Paris,Pakistani,33
Paris,Bar,859
Prague,International,333
Prague,Argentinean,8
Rome,Hawaiian,2
Rome,Swedish,2
Munich,Argentinean,3
Munich,Pub,92
Oslo,Vegetarian Friendly,316
Prague,Chinese,102
Prague,Mongolian,1
Warsaw,Vietnamese,29
Madrid,Dutch,1
Milan,Spanish,37
Paris,Australian,9
Rome,Kosher,17
Warsaw,Arabic,9
Paris,Soups,129
Paris,Ukrainian,3
Warsaw,Hungarian,4
Rome,Polish,1
Rome,Ukrainian,1
Vienna,Turkish,41
Paris,Armenian,2
Stockholm,Middle Eastern,52
Vienna,Fujian,1
Zurich,European,591
Milan,Sri Lankan,6
Milan,Colombian,2
Oslo,Indian,47
Oporto,American,21
Prague,Middle Eastern,32
Warsaw,South American,5
Milan,Greek,17
Milan,Middle Eastern,33
Milan,Hungarian,1
Munich,Irish,5
Paris,Filipino,1
Rome,Vegan Options,1133
Rome,British,8
Munich,Arabic,3
Oporto,Venezuelan,2
Paris,Danish,4
Prague,Seafood,55
Prague,Scandinavian,2
Stockholm,Afghani,2
Munich,European,616
Oporto,Israeli,2
Oslo,Gastropub,18
Rome,Australian,1
Rome,Belgian,1
Stockholm,Turkish,20
Zurich,Gluten Free Options,150
Oslo,Greek,4
Zurich,Vegetarian Friendly,602
Zurich,Contemporary,28
Oporto,Brazilian,17
Paris,Contemporary,141
Prague,Greek,21
Vienna,Halal,28
Vienna,Taiwanese,5
Munich,Sushi,84
Prague,European,1981
Prague,Lebanese,8
Zurich,Japanese,50
Milan,Fast Food,174
Paris,Mediterranean,860
Prague,Danish,1
Warsaw,Thai,60
Oslo,Delicatessen,8
Oslo,Central European,1
Warsaw,Italian,265
Milan,Japanese,383
Paris,Vegan Options,759
Paris,Korean,119
Paris,Norwegian,2
Rome,Latin,20
Stockholm,Barbecue,50
Stockholm,Indonesian,2
Munich,Fusion,25
Stockholm,Vegan Options,244
Paris,Moroccan,141
Prague,Moroccan,1
Stockholm,Eastern European,7
Milan,Irish,4
Oporto,Vegetarian Friendly,290
Rome,Central European,17
Warsaw,British,6
Paris,Turkish,71
Stockholm,Seafood,45
Stockholm,Pizza,123
Vienna,Kosher,7
Warsaw,American,78
Milan,Taiwanese,2
Munich,Wine Bar,28
Oslo,Swedish,3
Prague,Tibetan,2
Stockholm,Cafe,103
Milan,Healthy,44
Munich,Mediterranean,372
Oporto,Central European,4
Rome,Fast Food,293
Stockholm,Healthy,16
Vienna,Vegan Options,302
Paris,African,109
Warsaw,Cafe,84
Milan,Fujian,1
Paris,Native American,1
Prague,Slovenian,1
Rome,Brazilian,14
